Date,Open,High,Low,Close,Volume,Adj Close
2000-07-03,63.375,64.875,63.125,64.625,14879800,57.686069999999994
2000-07-05,63.8125,64.75,61.4375,61.875,27383000,55.23134399999999
2000-07-06,62.25,64.875,60.875,64.75,34561900,57.797647999999995
2000-07-07,64.625,65.9375,63.625,65.375,30196900,58.355541
2000-07-10,64.25,65.625,63.0,63.125,29138500,56.347128000000005
2000-07-11,63.0,64.5625,61.625,62.125,33011500,55.454501
2000-07-12,63.375,64.625,62.09375,63.875,32863700,57.016599
2000-07-13,64.0625,67.109383,63.875,65.25,58366200,58.243961999999996
2000-07-14,66.5625,68.75,66.0625,68.25,58353300,60.921845999999995
2000-07-17,67.625,69.75,67.375,69.625,41995400,62.149209
2000-07-18,68.25,69.125,67.0625,67.25,29673200,60.02921800000001
2000-07-19,67.125,67.9375,66.25,66.8125,24010200,59.638693
2000-07-20,67.25,69.75,67.1875,69.5,43828700,62.03763000000001
2000-07-21,68.625,69.625,67.734383,68.125,29126500,60.810267
2000-07-24,67.9375,68.875,65.875,66.0625,29325800,58.969221999999995
2000-07-25,66.625,68.875,65.9375,68.125,32776100,60.810267
2000-07-26,67.0625,69.125,66.375,68.5625,44805400,61.20079200000001
2000-07-27,67.859383,69.0,66.75,68.0,34568500,60.698689
2000-07-28,67.25,69.0,61.9375,62.8125,56395700,56.06818199999999
2000-07-31,62.890620999999996,66.0,62.5625,65.4375,51109200,58.41133000000001
2000-08-01,64.75,65.625,62.3125,63.1875,34942900,56.40291800000001
2000-08-02,63.25,64.5,60.75,60.9375,45361900,54.394505
2000-08-03,59.625,64.875,58.5,64.375,61286400,57.462913
2000-08-04,65.53125,66.875,64.5625,65.5625,41593000,58.522909
2000-08-07,66.203117,67.25,65.25,66.25,39458000,59.136590000000005
2000-08-08,66.0,66.9375,64.875,65.5,46360200,58.467119
2000-08-09,68.875,70.0,67.25,67.8125,94337400,60.531321
2000-08-10,66.625,66.625,63.125,63.375,59673700,56.570285
2000-08-11,62.8125,64.875,62.0,64.3125,48999400,57.407123999999996
2000-08-14,64.0,64.5625,62.375,64.5,29087500,57.574492000000006
2000-08-15,64.1875,64.8125,62.9375,63.1875,33757400,56.40291800000001
2000-08-16,63.5,64.25,62.3125,63.0625,35195300,56.291339
2000-08-17,62.875,64.5,62.265620999999996,63.4375,34739500,56.626075
2000-08-18,63.5625,64.3125,63.0,63.5,41693400,56.681864000000004
2000-08-21,64.125,65.5,64.125,65.5,41781800,58.467119
2000-08-22,65.5625,66.4375,64.5,64.8125,40985800,57.853438
2000-08-23,64.5,67.25,64.1875,67.1875,43615700,59.973429
2000-08-24,67.3125,67.5,65.625,66.5,26958500,59.359747
2000-08-25,66.375,67.0,65.5,65.5,21182500,58.467119
2000-08-28,65.75,67.03125,65.625,66.0625,25397800,58.969221999999995
2000-08-29,66.0625,67.375,65.75,66.5625,25801700,59.415535999999996
2000-08-30,66.375,66.9375,66.1875,66.5625,24561800,59.415535999999996
2000-08-31,66.9375,68.9375,66.8125,68.625,46835300,61.256581000000004
2000-09-01,68.875,69.625,68.125,68.5625,33141800,61.20079200000001
2000-09-05,67.5625,68.3125,65.625,66.0,32365000,58.913433
2000-09-06,66.375,66.9375,63.5,64.25,37317100,57.351335
2000-09-07,65.0,66.6875,64.25,66.25,30302700,59.136590000000005
2000-09-08,65.75,65.9375,63.3125,63.875,35967700,57.016599
2000-09-11,63.5,63.875,60.875,61.1875,53535500,54.617662
2000-09-12,61.515620999999996,62.875,58.125,58.875,76982100,52.55346
2000-09-13,58.25,61.859379000000004,58.0,61.3125,75426600,54.729240000000004
2000-09-14,62.625,63.3125,60.546879000000004,61.25,48069600,54.673451
2000-09-15,61.375,63.75,59.8125,62.75,75803700,56.012393
2000-09-18,61.5625,62.5625,58.5,60.0625,59433800,53.613456000000006
2000-09-19,59.9375,62.0625,59.0625,62.0,50635000,55.342921999999994
2000-09-20,61.3125,63.625,61.0,63.125,61998200,56.347128000000005
2000-09-21,61.5625,62.875,60.0625,61.125,48728100,54.561873
2000-09-22,58.5,60.5,58.4375,60.3125,55306500,53.836613
2000-09-25,60.71875,61.359379000000004,56.875,57.1875,59634900,51.047151
2000-09-26,58.1875,59.1875,55.125,55.1875,72577600,49.261895
2000-09-27,56.5,57.625,55.3125,57.3125,56557200,51.158729
2000-09-28,56.375,59.75,54.625,59.4375,90508900,53.055563
2000-09-29,58.859379000000004,59.3125,55.1875,55.25,44248700,49.317685
2000-10-02,57.375,58.96875,54.59375,55.5,76637400,49.540842
2000-10-03,57.0,59.375,55.9375,56.25,65208200,50.210312
2000-10-04,56.5625,59.0625,55.25,58.5625,56870600,52.274514
2000-10-05,57.8125,58.875,56.25,57.5625,47457200,51.381886
2000-10-06,57.3125,58.25,54.625,56.1875,54803700,50.154523
2000-10-09,55.4375,55.5625,52.875,53.6875,45976900,47.922954
2000-10-10,53.0,54.375,50.6875,51.125,61859800,45.635595
2000-10-11,48.75,53.375,48.21875,51.1875,93499900,45.691384
2000-10-12,52.625,53.625,49.25,49.8125,78347800,44.464021
2000-10-13,49.0625,56.1875,49.0625,56.0625,73929500,50.042945
2000-10-16,55.1875,55.75,53.875,54.5,51407200,48.648214
2000-10-17,55.4375,56.0,53.375,54.5625,52349400,48.704003
2000-10-18,52.75,54.765620999999996,50.0,52.25,66281300,46.639801
2000-10-19,55.0625,59.125,54.25,58.25,72023700,51.995568
2000-10-20,57.625,59.4375,56.75,57.3125,51194000,51.158729
2000-10-23,56.25,57.75,54.9375,55.875,45486800,49.875577
2000-10-24,56.5625,57.25,54.0625,54.875,46524900,48.982949
2000-10-25,51.5625,53.5625,50.5,50.625,68796400,45.189281
2000-10-26,51.375,54.125,50.0,53.5625,83351700,47.811375
2000-10-27,54.625,54.625,50.3125,50.6875,71866300,45.24507
2000-10-30,49.1875,49.6875,45.25,48.0625,7360400,42.901922
2000-10-31,48.375,54.5,48.1875,53.875,87881100,48.090321
2000-11-01,52.875,54.875,51.0625,52.125,76320300,46.528223
2000-11-02,52.8125,56.0,52.625,55.75,57679400,49.763998
