Date,Open,High,Low,Close,Volume,Adj Close
2000-07-03,45.875,48.0,45.875,47.5625,2746100,30.275859000000004
2000-07-05,48.4375,49.6875,47.375,47.75,5083900,30.395212
2000-07-06,47.8125,48.1875,46.625,48.0,3497600,30.554349
2000-07-07,48.25,50.6875,48.25,50.0625,6245000,31.867231
2000-07-10,50.1875,51.0,49.6875,49.75,3393600,31.668309999999998
2000-07-11,50.375,51.9375,49.8125,50.6875,4641900,32.265074
2000-07-12,51.6875,52.1875,50.5,50.5625,4531400,32.185506
2000-07-13,51.375,51.8125,50.625,50.75,4588500,32.304859
2000-07-14,51.4375,52.75,51.0,52.5,4532300,33.418819
2000-07-17,53.75,53.75,51.8125,52.03125,5069900,33.120437
2000-07-18,51.25,51.5,50.125,50.9375,3273200,32.424211
2000-07-19,51.0,51.5,50.125,50.6875,4287100,32.265074
2000-07-20,50.75,53.25,50.5,51.3125,6117400,32.662917
2000-07-21,53.0,53.75,51.625,52.734379000000004,5470100,33.568013
2000-07-24,52.4375,52.625,50.75,51.5625,3232600,32.822055
2000-07-25,51.625,51.75,50.875,51.25,2697100,32.623133
2000-07-26,51.0,51.0,48.625,49.375,4654000,31.429603999999998
2000-07-27,49.375,50.375,48.375,49.875,3556100,31.747878000000004
2000-07-28,50.0625,50.125,48.0625,48.375,2880800,30.793055
2000-07-31,49.0,49.8125,48.25,49.8125,3650700,31.708094
2000-08-01,49.875,53.375,49.625,51.625,10556800,32.861839
2000-08-02,51.9375,52.375,50.6875,51.4375,6692900,32.742486
2000-08-03,51.0,51.9375,50.0,50.25,5914200,31.986584000000004
2000-08-04,51.875,52.75,50.625,52.4375,8546500,33.379034999999995
2000-08-07,53.0625,54.125,52.5625,53.5625,6924000,34.095152
2000-08-08,53.8125,53.875,52.625,53.5,3458500,34.055368
2000-08-09,53.4375,53.625,52.125,52.3125,6305600,33.299465999999995
2000-08-10,52.3125,53.1875,51.75,51.875,4979200,33.020976
2000-08-11,51.5625,52.4375,51.3125,52.0,4492200,33.100545000000004
2000-08-14,52.75,53.0,51.5625,52.75,4970100,33.577956
2000-08-15,53.0,53.375,51.625,51.8125,7236200,32.981192
2000-08-16,51.25,51.8125,50.0625,50.375,5305600,32.066153
2000-08-17,50.0625,51.125,50.0625,50.6875,4514400,32.265074
2000-08-18,50.8125,51.25,50.25,50.75,3694100,32.304859
2000-08-21,51.0,51.625,50.625,50.9375,3502300,32.424211
2000-08-22,51.4375,53.5,51.0,52.75,7456800,33.577956
2000-08-23,52.9375,54.375,52.75,54.3125,6868200,34.572564
2000-08-24,53.375,54.875,53.0,53.25,4508200,33.896231
2000-08-25,53.125,53.6875,51.875,52.0625,4746600,33.140329
2000-08-28,52.0,53.3125,52.0,52.6875,5261600,33.538171999999996
2000-08-29,53.0625,53.1875,51.625,51.875,7020300,33.020976
2000-08-30,52.5,53.875,52.3125,53.25,8367100,33.896231
2000-08-31,53.6875,56.5625,53.5,55.875,8450600,35.567172
2000-09-01,56.6875,56.8125,55.125,56.3125,5478500,35.845662
2000-09-05,56.4375,57.5625,56.1875,57.125,4851200,36.362858
2000-09-06,57.25,58.25,55.75,56.0,6821900,35.64674
2000-09-07,56.5625,57.3125,55.9375,57.25,3495800,36.442427
2000-09-08,56.875,58.3125,56.75,57.8125,4496500,36.800484999999995
2000-09-11,57.5,58.375,56.5,57.5,5219500,36.601564
2000-09-12,57.75,57.9375,52.0,52.8125,7314600,33.617740999999995
2000-09-13,50.375,51.1875,49.625,50.6875,42585300,32.265074
2000-09-14,52.0,52.0,49.9375,50.0,20361300,31.827446999999996
2000-09-15,50.3125,50.3125,48.4375,49.125,14822300,31.270466
2000-09-18,49.125,49.125,46.5625,46.5625,15120400,29.63931
2000-09-19,46.6875,47.75,46.4375,46.875,15642000,29.838231
2000-09-20,46.8125,47.0625,45.625,46.5,12493000,29.599526
2000-09-21,46.5,46.5625,44.625,44.625,12166800,28.405996000000002
2000-09-22,44.75,47.5625,44.5625,47.25,17425600,30.076937
2000-09-25,47.5,48.6875,47.0,47.0,11709900,29.9178
2000-09-26,47.375,47.9375,45.75,46.0625,8176500,29.321035
2000-09-27,46.4375,46.9375,45.25,45.5,7879200,28.962977000000002
2000-09-28,45.3125,47.0625,45.125,46.875,9307900,29.838231
2000-09-29,46.375,47.625,46.1875,46.1875,8576500,29.400603999999998
2000-10-02,46.625,47.5,46.3125,47.5,7138200,30.236074
2000-10-03,47.625,48.125,46.5625,46.75,9742300,29.758663000000002
2000-10-04,46.375,46.6875,45.4375,45.5625,6363900,29.20265
2000-10-05,45.625,46.4375,44.25,44.4375,9189200,28.481596999999997
2000-10-06,44.5,45.0,41.75,42.875,13400700,27.480134000000003
2000-10-09,43.125,43.25,41.9375,42.0625,6499500,26.959374
2000-10-10,42.0625,42.5,40.25,40.8125,11926200,26.158204
2000-10-11,40.125,40.9375,38.875,40.6875,16885900,26.078087
2000-10-12,40.125,40.25,37.4375,37.8125,14847200,24.235395
2000-10-13,37.875,40.125,37.75,39.6875,14143700,25.437151
2000-10-16,40.1875,40.6875,38.75,39.5625,8405600,25.357034
2000-10-17,40.0,40.5,37.75,37.9375,8318700,24.315512
2000-10-18,33.5,38.125,32.375,36.875,29641500,23.634518
2000-10-19,38.125,40.125,38.125,38.9375,14981100,24.956448
2000-10-20,38.6875,39.375,38.125,38.375,7559300,24.595922
2000-10-23,38.1875,38.75,37.9375,38.375,5240100,24.595922
2000-10-24,38.1875,40.3125,38.125,40.0625,10595900,25.677502
2000-10-25,40.0625,41.4375,39.75,40.0,9256100,25.637442999999998
2000-10-26,40.6875,40.9375,38.875,40.0,10398700,25.637442999999998
2000-10-27,40.5,42.9375,40.3125,42.6875,9867500,27.359959000000003
2000-10-30,42.8125,43.9375,42.8125,43.75,7884900,28.040953000000002
2000-10-31,44.8125,45.9375,44.125,45.5,13186900,29.162591
2000-11-01,45.5,45.8125,44.5,45.6875,8789400,29.282767
2000-11-02,45.6875,46.5,45.375,45.5,6435700,29.162591
2000-11-03,45.5625,45.5625,44.125,44.4375,5879800,28.481596999999997
2000-11-06,44.875,45.6875,44.5625,45.5,4568100,29.162591
2000-11-07,45.125,45.375,44.625,44.9375,4101800,28.802065000000002
2000-11-08,44.9375,44.9375,43.25,43.5625,5754400,27.920778000000002
2000-11-09,43.0625,44.3125,42.5625,44.125,6306500,28.281304
2000-11-10,43.625,44.5625,42.8125,42.8125,4465600,27.440076
2000-11-13,41.875,42.625,40.75,42.125,6041800,26.999432000000002
2000-11-14,42.8125,43.1875,41.75,42.5625,6506300,27.279842
2000-11-15,42.0625,42.8125,40.625,40.75,8300500,26.118145000000002
2000-11-16,40.875,41.75,40.5625,40.875,6940400,26.198262
2000-11-17,40.9375,41.0,39.125,39.625,8358900,25.397092
2000-11-20,39.75,39.9375,38.125,38.5625,7421300,24.716097
2000-11-21,38.5625,39.3125,37.75,38.6875,6202100,24.796214000000003
2000-11-22,38.3125,38.375,37.0,37.4375,6600100,23.995044
2000-11-24,37.9375,39.1875,37.8125,39.125,3835500,25.076624
