Date,Open,High,Low,Close,Volume,Adj Close
2000-07-03,8.75,9.0,8.75,8.875,89300,7.530353999999999
2000-07-05,8.875,9.125,8.875,8.875,330400,7.530353999999999
2000-07-06,8.9375,9.0625,8.9375,9.0,207600,7.6364149999999995
2000-07-07,9.125,9.3125,8.875,8.875,609700,7.530353999999999
2000-07-10,8.875,9.3125,8.875,8.875,220900,7.530353999999999
2000-07-11,9.0,9.125,8.875,8.9375,546900,7.583385000000001
2000-07-12,8.9375,9.0625,8.9375,8.9375,143400,7.583385000000001
2000-07-13,8.9375,9.25,8.9375,9.1875,361400,7.795507000000001
2000-07-14,9.25,9.3125,9.125,9.125,137300,7.742477
2000-07-17,9.25,9.25,9.0,9.0625,221300,7.689446
2000-07-18,9.0625,9.375,9.0,9.25,224500,7.8485380000000005
2000-07-19,9.3125,9.4375,9.3125,9.375,1355800,7.954599000000001
2000-07-20,9.625,9.8125,9.5,9.75,411900,8.272783
2000-07-21,9.8125,9.875,9.375,9.4375,214600,8.00763
2000-07-24,9.375,9.5625,9.375,9.375,222000,7.954599000000001
2000-07-25,9.5,9.5625,9.3125,9.375,225000,7.954599000000001
2000-07-26,9.4375,9.5625,9.3125,9.4375,271400,8.00763
2000-07-27,9.5,9.5625,9.4375,9.5625,327700,8.113691000000001
2000-07-28,9.4375,9.625,9.375,9.5,229600,8.060661
2000-07-31,9.5,9.5625,9.25,9.375,212400,7.954599000000001
2000-08-01,9.25,9.25,8.9375,9.0,355100,7.6364149999999995
2000-08-02,9.0,9.0625,8.875,8.9375,506800,7.583385000000001
2000-08-03,9.0,9.5625,8.875,9.4375,287300,8.00763
2000-08-04,9.3125,9.875,9.1875,9.375,328000,7.954599000000001
2000-08-07,9.25,9.75,9.25,9.5625,236300,8.113691000000001
2000-08-08,9.5,9.5625,9.0625,9.1875,435800,7.795507000000001
2000-08-09,9.25,9.5,9.1875,9.5,363200,8.060661
2000-08-10,9.5,9.5625,9.4375,9.5625,394500,8.113691000000001
2000-08-11,9.5,9.5625,9.375,9.4375,188600,8.00763
2000-08-14,9.5,9.5,9.3125,9.375,256400,7.954599000000001
2000-08-15,9.375,9.6875,9.3125,9.375,212900,7.954599000000001
2000-08-16,9.4375,9.5625,9.375,9.5625,117900,8.113691000000001
2000-08-17,9.5625,9.5625,9.4375,9.5625,193800,8.113691000000001
2000-08-18,9.5,9.625,9.4375,9.625,249700,8.166722
2000-08-21,9.625,9.625,9.375,9.4375,212200,8.00763
2000-08-22,9.375,9.5,9.3125,9.4375,141500,8.00763
2000-08-23,9.3125,9.5,9.3125,9.5,82700,8.060661
2000-08-24,9.4375,9.5625,9.4375,9.5625,169500,8.113691000000001
2000-08-25,9.5,9.5,9.4375,9.5,262300,8.060661
2000-08-28,9.375,9.4375,9.3125,9.375,177000,7.954599000000001
2000-08-29,9.3125,9.375,9.25,9.3125,132000,7.901569
2000-08-30,9.125,9.25,9.0,9.125,149800,7.775877
2000-08-31,9.0625,9.375,9.0,9.1875,377400,7.829136
2000-09-01,9.25,9.375,9.1875,9.3125,165900,7.935655000000001
