Date,Open,High,Low,Close,Volume,Adj Close
2000-07-03,40.25,40.8125,39.875,40.6875,3664000,13.632577
2000-07-05,41.25,42.25,41.0,41.4375,6442800,13.883868
2000-07-06,41.75,42.875,40.625,42.5,5954600,14.239865
2000-07-07,42.9375,44.0,42.6875,42.6875,8476800,14.302688
2000-07-10,43.0,43.625,42.625,42.625,5502400,14.281747
2000-07-11,42.625,43.375,42.375,42.9375,5370800,14.386451999999998
2000-07-12,43.5625,44.0625,42.75,43.125,5943200,14.449275
2000-07-13,43.25,43.6875,42.0625,42.8125,5538200,14.344570000000001
2000-07-14,42.75,43.9375,42.625,43.6875,5323200,14.637744
2000-07-17,43.875,44.0,43.0,43.375,4846400,14.533039000000002
2000-07-18,42.5,42.625,41.6875,42.0625,8181800,14.093278
2000-07-19,42.0625,42.375,41.8125,42.1875,5291200,14.13516
2000-07-20,42.25,43.4375,42.25,43.3125,6919800,14.512098000000002
2000-07-21,43.3125,43.5,42.0,42.375,5734000,14.197982999999999
2000-07-24,42.3125,42.875,41.8125,41.8125,5403000,14.009514000000001
2000-07-25,42.5,42.5,41.375,41.8125,3706600,14.009514000000001
2000-07-26,40.625,41.3125,40.625,40.9375,6996000,13.716341
2000-07-27,41.3125,42.25,41.125,42.0,5093800,14.072337
2000-07-28,41.125,41.875,40.6875,41.875,4904200,14.030454999999998
2000-07-31,41.9375,42.0,41.0625,41.5,5609200,13.904809
2000-08-01,41.75,41.8125,40.9375,41.1875,5604400,13.800104999999999
2000-08-02,41.4375,41.625,40.9375,41.4375,4760600,13.958426000000001
2000-08-03,41.375,44.0625,41.1875,43.9375,11149800,14.800564000000001
2000-08-04,44.1875,44.75,43.9375,44.125,11625200,14.863724
2000-08-07,44.4375,44.875,43.625,44.5,7151200,14.990045
2000-08-08,44.8125,44.8125,43.5625,44.3125,4539800,14.926884
2000-08-09,44.25,45.0625,43.1875,44.25,7885400,14.905831
2000-08-10,44.875,45.5625,44.3125,44.875,6813800,15.116365
2000-08-11,44.6875,45.375,44.5,45.0,4652600,15.158472
2000-08-14,44.875,45.5,44.1875,45.25,3103800,15.242685999999999
2000-08-15,44.875,45.0,43.625,44.4375,8870400,14.968991
2000-08-16,44.25,44.875,43.9375,44.125,4519400,14.863724
2000-08-17,44.3125,45.0,44.0,44.625,4973800,15.032151
2000-08-18,44.4375,44.6875,44.1875,44.25,4659400,14.905831
2000-08-21,44.0,44.5,43.875,44.375,3630600,14.947938
2000-08-22,44.4375,45.8125,44.1875,45.5625,7736400,15.347953
2000-08-23,45.25,45.75,44.75,45.1875,4628800,15.221632000000001
2000-08-24,45.1875,45.375,44.5625,44.75,5806600,15.074257999999999
2000-08-25,44.75,44.9375,44.25,44.5625,3158600,15.011098
2000-08-28,44.1875,44.875,44.0,44.0625,4723400,14.842671
2000-08-29,43.8125,43.9375,43.0625,43.25,5046200,14.568976000000001
2000-08-30,43.625,43.9375,42.875,43.5,5169600,14.653189999999999
2000-08-31,43.4375,44.4375,43.1875,43.203121,9050600,14.553185000000001
2000-09-01,44.0,44.0625,42.875,42.9375,4796400,14.463709
2000-09-05,42.875,43.75,42.6875,43.6875,7394400,14.71635
2000-09-06,43.9375,44.875,43.75,44.4375,6623600,14.968991
2000-09-07,45.0,45.3125,44.6875,45.0,7081000,15.158472
2000-09-08,45.25,46.1875,45.0,45.890621,8199600,15.458482
2000-09-11,46.5,47.0,46.0625,46.25,8977800,15.579541
2000-09-12,46.8125,46.8125,45.625,46.3125,5598000,15.600594000000001
2000-09-13,46.3125,47.125,46.0625,46.75,7851400,15.747968
2000-09-14,46.125,46.1875,44.8125,45.4375,9321000,15.305845999999999
2000-09-15,45.4375,46.125,44.9375,45.843761,12601800,15.442697
2000-09-18,45.625,45.625,44.625,44.6875,5782200,15.053204999999998
2000-09-19,44.875,46.5,44.75,46.5,4933600,15.663754
2000-09-20,45.5,45.5,44.4375,45.25,4428000,15.242685999999999
2000-09-21,45.0625,45.1875,44.375,44.625,5139400,15.032151
2000-09-22,44.875,45.5,44.4375,45.25,5389000,15.242685999999999
2000-09-25,45.875,46.75,45.3125,46.25,6322800,15.579541
2000-09-26,46.5,46.5625,45.875,46.125,7108800,15.537434
2000-09-27,45.5625,46.5,45.3125,46.3125,6116200,15.600594000000001
2000-09-28,46.5,47.0625,46.1875,46.75,7742000,15.747968
2000-09-29,46.375,47.0625,45.6875,45.9375,8937800,15.474274
2000-10-02,46.0,47.0625,45.375,47.0625,5985600,15.853235
2000-10-03,47.375,48.25,47.375,47.75,11755400,16.084823
2000-10-04,48.0,48.3125,46.6875,47.125,8140600,15.874289000000001
2000-10-05,47.3125,48.25,47.3125,47.6875,7490200,16.06377
2000-10-06,47.8125,47.875,45.5625,46.5625,8500400,15.684807999999999
2000-10-09,45.8125,46.75,45.6875,46.125,4751000,15.537434
2000-10-10,46.125,46.125,44.625,44.8125,7073800,15.095312
2000-10-11,44.5,44.9375,43.375,43.875,9278600,14.77951
2000-10-12,44.125,44.25,41.9375,42.75,9932600,14.400548
2000-10-13,42.5,44.1875,42.5,43.375,6378400,14.611082999999999
2000-10-16,43.9375,43.9375,43.0,43.5625,4907400,14.674242999999999
2000-10-17,43.5,43.5625,41.4375,41.6875,9422600,14.042639999999999
2000-10-18,41.625,42.8125,39.625,42.25,10616000,14.232121
2000-10-19,41.5625,43.1875,41.4375,42.6875,6453600,14.379495
2000-10-20,42.6875,43.1875,42.0,42.3125,5206000,14.253174
2000-10-23,42.6875,42.6875,42.0,42.1875,4377800,14.211068
2000-10-24,43.125,43.8125,42.875,43.3125,4931400,14.590029000000001
2000-10-25,43.5,44.375,42.4375,42.5,11271000,14.316335
